12512460	0
07632037	24635
12646950	33723
15025571	20545
08927186	20546
01284928	1
01360899	20547
08915372	20548
00892698	2
10697519	30280
00791227	30726
01049462	20549
01400575	17164
00647094	3
00913065	4
06787835	20551
09784443	20552
06323612	5
00452293	6
11962853	7
01956924	20553
14416349	10
07171206	11
03999280	37559
11237075	23525
03575958	30727
03096593	20554
00100044	12
02271740	13
03239399	20556
06929279	39122
01519046	17
08953151	18
12778926	20557
09332976	19
03830448	20
14480065	27306
07895237	21
10196965	22
04543772	37561
06844199	20561
08260961	30729
10717921	20562
00548802	3460
10480253	23
12305475	6840
00021265	9333
02133704	3461
01102839	24
12969670	20564
12696830	10345
00849332	20565
02588108	25
07398276	3464
06615927	20567
00140967	20568
00771961	20569
06869951	26
02806261	27
13931145	28
01241767	20572
06495328	20575
03098140	34187
02471467	20576
02174115	29
12342043	13699
12173407	20577
01878803	20579
09453566	20580
13879320	31
11713164	20581
00448232	20583
00768483	32
05222591	27311
04417180	25678
05037813	20550
02462602	34
11712282	20584
00599329	27655
13222227	37
00049309	38
00282485	20586
12957467	20587
02456493	39
01835103	20589
02303761	31143
08849226	20590
02185481	20591
05285623	20593
04481373	20595
03066743	20596
00036580	20597
01420451	40
12919195	41
14494716	17172
02347443	28028
03815615	20599
09027853	20600
05346714	8
12765115	33769
03545961	43
09644152	44
12905817	46
13424183	37571
01905653	47
02556537	48
03963294	49
12748815	20604
06588785	20605
07572353	53
00320246	52
07428450	27317
07535532	28672
06588511	54
00590148	20606
02034986	55
12762896	56
10566072	57
01899708	20608
08589351	20609
02914813	10352
07118002	20610
00137313	20611
13792692	35881
06139764	58
03525693	59
01666002	20614
05679611	60
08038748	61
01938155	20615
03880531	62
12496735	63
06697703	20617
03579355	20618
01805384	20619
14084880	20620
14601294	64
10695555	65
02080146	32214
09418169	16
02689146	66
00391086	20621
01107544	67
01844917	20622
14014162	15
04620216	68
15094294	20623
07761309	70
01736256	20625
08962187	71
10758589	36455
00539951	33808
09784707	72
01897991	17178
15166742	20626
00894552	73
10757625	20627
01864634	20628
14386130	29606
12333397	20629
13108131	17180
02235911	23887
11493827	75
08153102	30742
03142679	20631
02580237	20632
07439883	76
11951385	17181
00103619	77
01784799	78
09137032	79
04787324	20635
13201239	81
04991511	29646
02528163	82
09952163	83
01418667	23889
00411020	20639
08519444	85
04444749	33630
01055661	20640
08925093	20642
02713992	20643
05822746	86
01826542	3473
00867231	20645
04901326	87
00573085	20558
07730855	20646
01115916	20647
07508486	6848
08369920	36411
08145871	88
14872875	20649
01390466	90
04862236	24540
12950669	91
02887489	20559
02054864	34198
14622893	20650
00795720	20651
07390945	38038
00993892	10358
00152558	20653
06094774	92
09113207	20654
02883344	20560
01183497	93
10569411	94
06518068	6851
09547353	20655
00874977	20656
11845557	12454
02528949	95
03638321	96
09810364	34201
09034402	20658
05018674	97
01764586	30750
01677913	98
03584111	99
14666012	37583
07311115	20660
06511874	100
00066901	23896
09976728	102
00492310	103
11452218	104
01126051	105
10292316	20663
01309807	20664
06753550	106
02465414	20665
01889328	107
04362821	108
02680754	109
14479615	34239
12344996	110
08809749	24554
03427202	111
14080622	112
01990007	13007
09722898	30800
01840643	113
08566554	23371
01828267	20667
02933112	20668
15015501	114
08799123	117
01458973	20669
11415721	35461
15217911	20670
04473432	118
10688356	119
12310349	20672
11786131	38388
00801977	20674
04930139	10363
00260051	38392
01614581	120
06361770	121
10190745	20675
13796779	122
14459824	30754
00891071	123
01189929	124
02646985	125
14678406	30757
05268965	37961
00439284	126
08151490	37123
01017222	20678
00645365	127
02678839	20680
02241621	128
06080522	129
02038329	131
04224671	132
11274269	20685
14793921	135
07415167	134
02934888	20566
02701445	13725
06986894	20688
13207736	136
11738832	20691
13565379	20692
11358719	20693
10277912	137
12417273	20570
13980845	20694
01547390	20695
01011031	20696
09622928	138
01066542	27331
01979124	20697
04568841	140
01262574	23904
10499857	141
00534480	142
02952109	34206
10282014	143
00416399	27338
02222718	20700
03834604	27336
11505546	20701
07353376	20703
02196378	23907
